TT,07,29,21,00,00,25,852988
875,122507386,0,0,122507582
EC,3119,184004,   0,187123
EC,  88,15941,   0,16030
ER,16015,   6,   8
EC,  94,16936,   0,17030
ER,17015,   6,   8
EC,  97,17933,   0,18030
ER,18015,   6,   8
EC, 101,18930,   0,19031
ER,19016,   6,   8
EC, 105,19926,   0,20032
ER,20017,   6,   8
EC, 108,20923,   0,21032
ER,21017,   6,   8
EC, 113,21919,   0,22032
ER,22017,   6,   8
EC, 117,22916,   0,23033
ER,23018,   6,   8
EC, 121,23912,   0,24034
ER,24019,   6,   8
EC, 125,24909,   0,25035
ER,25020,   6,   8
EC, 131,25903,   0,26035
ER,26019,   6,   8
EC, 136,26899,   0,27035
ER,27020,   6,   8
EC, 143,27893,   0,28036
ER,28021,   6,   8
EC, 149,28887,   0,29037
ER,29021,   7,   8
EC, 154,29882,   0,30037
ER,30021,   7,   8
EC, 158,30880,   0,31038
ER,31022,   7,   8
EC, 163,31874,   0,32038
ER,32022,   7,   8
EC, 167,32872,   0,33039
ER,33023,   7,   8
decrypt, 21962802,21962814
llego jejeje
encrypt, 21963052,21963060
n,57422,21963050,0,0,21963230
encrypt, 21963412,21963424
S,44852,21963410,0,0,21963594
encrypt, 22246920,22246932
S,44852,22246918,0,0,22247104
EC, 175,33864,   0,34040
ER,34023,   8,   8
encrypt, 22814060,22814072
S,44852,22814058,0,0,22814244
EC, 180,34860,   0,35040
ER,35023,   8,   8
EC, 186,35854,   0,36040
ER,36023,   8,   8
encrypt, 23947784,23947796
S,44852,23947782,0,0,23947968
EC, 191,36849,   0,37041
ER,37023,   9,   8
EC, 196,37845,   0,38041
ER,38024,   9,   8
EC, 199,38843,   0,39042
ER,39024,   9,   8
encrypt, 26213904,26213916
S,44852,26213902,0,0,26214088
EC, 203,39839,   0,40042
ER,40024,   9,   8
EC, 206,40837,   0,41043
ER,41025,   9,   8
EC, 209,41834,   0,42044
ER,42026,   9,   8
EC, 213,42831,   0,43044
ER,43026,   9,   8
EC, 218,43826,   0,44045
ER,44027,   9,   8
EC, 222,44823,   0,45045
ER,45027,   9,   8
EC, 226,45820,   0,46046
ER,46028,   9,   8
EC, 230,46817,   0,47047
ER,47029,  10,   8
EC, 235,47811,   0,48047
ER,48028,  10,   8
EC, 238,48809,   0,49047
ER,49029,  10,   8
EC, 242,49805,   0,50048
ER,50030,  10,   8
EC, 247,50800,   0,51048
ER,51030,  10,   8
EC, 251,51798,   0,52049
ER,52031,  10,   8
EC, 254,52795,   0,53050
ER,53031,  10,   8
EC, 258,53792,   0,54051
ER,54032,  10,   8
EC, 266,54785,   0,55051
ER,55033,  10,   8
EC, 279,55772,   0,56051
ER,56033,  10,   8
EC, 290,56762,   0,57052
ER,57033,  10,   8
EC, 300,57752,   0,58052
ER,58034,  10,   8
EC, 304,58748,   0,59053
ER,59035,  10,   8
EC, 308,59745,   0,60053
ER,60035,  10,   8
EC, 312,60742,   0,61054
ER,61036,  10,   8
EC, 316,61738,   0,62055
ER,62036,  10,   8
EC, 320,62734,   0,63055
ER,63037,  10,   8
decrypt, 41626506,41626520
llego jejeje
encrypt, 41626756,41626764
n,57428,41626756,0,0,41626934
encrypt, 41627118,41627130
S,44853,41627116,0,0,41627298
encrypt, 41837122,41837134
S,44853,41837120,0,0,41837306
EC, 334,63721,   0,64056
ER,64037,  10,   8
encrypt, 42255974,42255986
S,44853,42255972,0,0,42256158
EC, 343,64713,   0,65056
ER,65037,  11,   8
encrypt, 43094010,43094024
S,44853,43094008,0,0,43094194
EC, 353,65704,   0,66057
ER,66037,  11,   8
EC, 357,66700,   0,67057
ER,67037,  11,   8
EC, 363,67695,   0,68058
ER,68038,  11,   8
encrypt, 44769368,44769380
S,44853,44769366,0,0,44769552
EC, 367,68691,   0,69058
ER,69038,  12,   8
EC, 374,69685,   0,70059
ER,70039,  12,   8
EC, 384,70675,   0,71060
ER,71039,  12,   8
EC, 395,71665,   0,72060
ER,72040,  12,   8
EC, 401,72659,   0,73061
ER,73040,  12,   8
EC, 405,73655,   0,74061
ER,74041,  12,   8
EC, 410,74652,   0,75062
ER,75041,  12,   8
EC, 414,75648,   0,76062
ER,76042,  12,   8
EC, 418,76645,   0,77063
ER,77042,  12,   8
EC, 424,77639,   0,78063
ER,78043,  12,   8
EC, 432,78632,   0,79064
ER,79044,  12,   8
EC, 436,79628,   0,80064
ER,80044,  12,   8
EC, 445,80619,   0,81065
ER,81045,  12,   8
EC, 456,81609,   0,82066
ER,82045,  12,   8
EC, 465,82600,   0,83066
ER,83046,  12,   8
EC, 472,83594,   0,84067
ER,84046,  12,   8
EC, 478,84588,   0,85067
ER,85047,  12,   8
EC, 487,85580,   0,86068
ER,86047,  12,   8
EC, 496,86572,   0,87068
ER,87048,  12,   8
EC, 501,87568,   0,88069
ER,88048,  12,   8
EC, 504,88565,   0,89069
ER,89049,  12,   8
EC, 509,89561,   0,90070
ER,90049,  12,   8
EC, 514,90556,   0,91071
ER,91050,  12,   8
EC, 518,91553,   0,92071
ER,92050,  12,   8
EC, 522,92550,   0,93072
ER,93051,  12,   8
decrypt, 61285712,61285724
llego jejeje
encrypt, 61285962,61285970
n,57434,61285960,0,0,61286140
encrypt, 61286322,61286336
S,44854,61286322,0,0,61286504
encrypt, 61554836,61554848
S,44854,61554834,0,0,61555020
EC, 529,93543,   0,94072
ER,94050,  13,   8
encrypt, 62090896,62090908
S,44854,62090894,0,0,62091080
EC, 533,94539,   0,95073
ER,95050,  14,   8
EC, 537,95536,   0,96073
ER,96051,  14,   8
encrypt, 63162510,63162522
S,44854,63162508,0,0,63162694
EC, 542,96531,   0,97074
ER,97051,  14,   8
EC, 546,97528,   0,98075
ER,98051,  14,   8
EC, 551,98523,   0,99075
ER,99052,  14,   8
encrypt, 65304740,65304752
S,44854,65304738,0,0,65304924
EC, 557,99518,   0,100076
ER,100052,  15,   8
EC, 560,100515,   0,101076
ER,101053,  15,   8
EC, 567,101509,   0,102077
ER,102053,  15,   8
EC, 572,102505,   0,103077
ER,103054,  15,   8
EC, 576,103501,   0,104078
ER,104054,  15,   8
EC, 580,104497,   0,105078
ER,105055,  15,   8
EC, 589,105490,   0,106079
ER,106056,  15,   8
EC, 593,106486,   0,107080
ER,107056,  15,   8
EC, 597,107482,   0,108080
ER,108057,  15,   8
EC, 601,108479,   0,109081
ER,109057,  15,   8
EC, 605,109476,   0,110081
ER,110058,  15,   8
EC, 608,110473,   0,111082
ER,111058,  15,   8
EC, 619,111463,   0,112082
ER,112059,  15,   8
EC, 623,112460,   0,113083
ER,113059,  15,   8
EC, 626,113457,   0,114083
ER,114060,  15,   8
EC, 630,114454,   0,115084
ER,115060,  15,   8
EC, 634,115450,   0,116084
ER,116061,  15,   8
EC, 638,116447,   0,117085
ER,117062,  15,   8
EC, 647,117438,   0,118086
ER,118062,  15,   8
EC, 651,118435,   0,119086
ER,119063,  15,   8
EC, 655,119431,   0,120087
ER,120063,  15,   8
EC, 661,120426,   0,121087
ER,121064,  15,   8
EC, 668,121419,   0,122088
ER,122064,  15,   8
EC, 677,122411,   0,123088
ER,123065,  15,   8
decrypt, 80945626,80945638
llego jejeje
encrypt, 80945876,80945884
n,57440,80945874,0,0,80946054
encrypt, 80946236,80946248
S,44855,80946234,0,0,80946418
encrypt, 81233136,81233148
S,44855,81233134,0,0,81233320
EC, 688,123401,   0,124089
ER,124064,  16,   8
encrypt, 81807034,81807046
S,44855,81807032,0,0,81807218
EC, 692,124396,   0,125089
ER,125064,  16,   8
EC, 696,125393,   0,126090
ER,126065,  16,   8
encrypt, 82953954,82953966
S,44855,82953952,0,0,82954138
EC, 700,126390,   0,127091
ER,127065,  16,   8
EC, 705,127386,   0,128091
ER,128066,  16,   8
EC, 710,128381,   0,129092
ER,129067,  16,   8
EC, 720,129372,   0,130092
ER,130067,  16,   8
encrypt, 85247326,85247338
S,44855,85247324,0,0,85247510
EC, 725,130368,   0,131093
ER,131068,  17,   8
EC, 728,131365,   0,132094
ER,132068,  17,   8
EC, 732,132362,   0,133094
ER,133068,  17,   8
EC, 739,133355,   0,134094
ER,134069,  17,   8
EC, 744,134351,   0,135095
ER,135069,  17,   8
EC, 748,135347,   0,136095
ER,136070,  17,   8
EC, 752,136343,   0,137096
ER,137071,  17,   8
EC, 756,137340,   0,138097
ER,138071,  17,   8
EC, 760,138336,   0,139097
ER,139071,  17,   8
EC, 763,139334,   0,140098
ER,140072,  17,   8
EC, 768,140330,   0,141099
ER,141073,  17,   8
EC, 771,141327,   0,142099
ER,142073,  17,   8
EC, 775,142323,   0,143099
ER,143074,  17,   8
EC, 778,143321,   0,144100
ER,144074,  17,   8
EC, 784,144316,   0,145101
ER,145075,  17,   8
EC, 788,145312,   0,146101
ER,146076,  17,   8
EC, 792,146309,   0,147102
ER,147076,  17,   8
EC, 795,147307,   0,148102
ER,148077,  17,   8
EC, 800,148302,   0,149102
ER,149077,  17,   8
EC, 804,149299,   0,150103
ER,150078,  17,   8
EC, 808,150296,   0,151104
ER,151078,  17,   8
EC, 812,151292,   0,152105
ER,152079,  17,   8
EC, 815,152289,   0,153105
ER,153079,  17,   8
decrypt, 100609250,100609262
llego jejeje
encrypt, 100609512,100609518
n,57446,100609510,0,0,100609700
encrypt, 100609894,100609908
S,44856,100609894,0,0,100610088
encrypt, 100896034,100896046
S,44856,100896032,0,0,100896228
EC, 822,153283,   0,154105
ER,154079,  18,   8
encrypt, 101467748,101467760
S,44856,101467746,0,0,101467942
EC, 827,154279,   0,155106
ER,155079,  18,   8
EC, 834,155272,   0,156107
ER,156080,  18,   8
encrypt, 102610220,102610232
S,44856,102610218,0,0,102610414
EC, 838,156268,   0,157107
ER,157080,  18,   8
EC, 842,157265,   0,158108
ER,158081,  18,   8
EC, 847,158261,   0,159108
ER,159081,  18,   8
EC, 851,159257,   0,160109
ER,160082,  18,   8
encrypt, 104894794,104894806
S,44856,104894792,0,0,104894990
EC, 856,160253,   0,161109
ER,161082,  19,   8
EC, 861,161249,   0,162110
ER,162082,  19,   8
EC, 864,162246,   0,163110
ER,163083,  19,   8
EC, 869,163241,   0,164111
ER,164083,  19,   8
EC, 873,164238,   0,165111
ER,165084,  19,   8
EC, 878,165234,   0,166112
ER,166085,  19,   8
EC, 882,166230,   0,167113
ER,167085,  19,   8
EC, 887,167226,   0,168113
ER,168085,  19,   8
EC, 891,168222,   0,169114
ER,169086,  19,   8
EC, 895,169219,   0,170114
ER,170086,  19,   8
EC, 904,170210,   0,171115
ER,171087,  19,   8
EC, 909,171206,   0,172115
ER,172087,  19,   8
EC, 913,172202,   0,173116
ER,173088,  19,   8
EC, 917,173199,   0,174117
ER,174089,  19,   8
EC, 921,174196,   0,175117
ER,175089,  19,   8
EC, 926,175191,   0,176117
ER,176089,  19,   8
EC, 929,176189,   0,177118
ER,177090,  19,   8
EC, 934,177184,   0,178119
ER,178090,  19,   8
EC, 938,178181,   0,179119
ER,179091,  19,   8
