TT,07,29,21,02,59,58,384383
,   0,182121
o,36122,2886742,2886754
o,36123,2893404,2893416
o,36124,2900066,2900078
o,36125,2906728,2906740
o,36126,2913390,2913402
o,36127,2919950,2919962
o,36128,2926612,2926624
o,36129,2933274,2933286
o,36130,2939936,2939948
o,36131,2946598,2946610
o,36132,2953776,2953788
o,36133,2960438,2960450
o,36134,2967102,2967114
o,36135,2973706,2973718
o,36136,2980368,2980380
o,36137,2987030,2987042
o,36138,2993692,2993704
o,36139,3000354,3000366
o,36140,3007016,3007028
o,36141,3013682,3013694
o,36142,3020860,3020872
o,36143,3027520,3027532
o,36144,3034124,3034136
o,36145,3040786,3040798
o,36146,3047448,3047460
o,36147,3054110,3054122
o,36148,3060770,3060782
o,36149,3067432,3067444
o,36150,3074094,3074106
o,36151,3080756,3080768
o,36152,3087934,3087946
o,36153,3094596,3094608
o,36154,3101258,3101270
o,36155,3108232,3108244
o,36156,3115022,3115034
o,36157,3121684,3121696
o,36158,3128346,3128358
o,36159,3135006,3135018
o,36160,3141668,3141680
o,36161,3148328,3148340
o,36162,3155508,3155520
o,36163,3162170,3162182
o,36164,3168832,3168844
o,36165,3175494,3175506
o,36166,3182156,3182168
o,36167,3188818,3188830
o,36168,3195480,3195492
o,36169,3202142,3202154
o,36170,3208804,3208816
o,36171,3215466,3215478
o,36172,3222646,3222658
o,36173,3229308,3229320
o,36174,3235970,3235982
o,36175,3242632,3242644
o,36176,3249544,3249556
o,36177,3256630,3256642
o,36178,3262988,3263000
o,36179,3269650,3269662
o,36180,3276312,3276324
o,36181,3282976,3282988
o,36182,3290156,3290168
EC, 101,4922,   0,5023
ER,4955,  59,   8
o,36183,3296820,3296832
o,36184,3303482,3303494
o,36185,3310144,3310156
o,36186,3316806,3316818
o,36187,3323468,3323480
o,36188,3330130,3330142
o,36189,3336794,3336806
o,36190,3343456,3343468
o,36191,3350118,3350130
o,36192,3357298,3357310
o,36193,3363960,3363972
o,36194,3370622,3370634
o,36195,3377284,3377296
o,36196,3383948,3383960
o,36197,3390612,3390624
o,36198,3397132,3397144
o,36199,3403794,3403806
o,36200,3410456,3410468
o,36201,3417118,3417130
o,36202,3424298,3424310
o,36203,3430960,3430972
o,36204,3437620,3437632
o,36205,3444282,3444294
o,36206,3450944,3450956
o,36207,3457606,3457618
o,36208,3464268,3464280
o,36209,3470930,3470942
o,36210,3477592,3477604
o,36211,3484254,3484266
o,36212,3491434,3491446
o,36213,3498096,3498108
o,36214,3504758,3504770
o,36215,3511370,3511382
o,36216,3518032,3518044
o,36217,3524694,3524706
o,36218,3531356,3531368
o,36219,3538018,3538030
o,36220,3544680,3544692
o,36221,3551342,3551354
o,36222,3558522,3558534
o,36223,3565184,3565196
o,36224,3571846,3571858
o,36225,3578380,3578392
o,36226,3585042,3585054
o,36227,3591704,3591716
o,36228,3598366,3598378
o,36229,3605028,3605040
o,36230,3611690,3611702
o,36231,3618354,3618366
o,36232,3625534,3625546
o,36233,3632196,3632208
o,36234,3638796,3638808
o,36235,3645832,3645844
o,36236,3652624,3652636
o,36237,3659286,3659298
o,36238,3665948,3665960
o,36239,3672612,3672624
o,36240,3679274,3679286
o,36241,3685900,3685912
o,36242,3693082,3693094
o,36243,3699746,3699758
o,36244,3706408,3706420
o,36245,3713070,3713082
o,36246,3719732,3719744
o,36247,3726396,3726408
o,36248,3733058,3733070
o,36249,3739720,3739732
o,36250,3746382,3746394
o,36251,3753046,3753058
o,36252,3760226,3760238
o,36253,3766888,3766900
o,36254,3773550,3773562
o,36255,3780162,3780174
o,36256,3786824,3786836
o,36257,3793486,3793498
o,36258,3800148,3800160
o,36259,3806810,3806822
o,36260,3813472,3813484
o,36261,3820134,3820146
o,36262,3827314,3827326
o,36263,3833976,3833988
o,36264,3840638,3840650
o,36265,3847300,3847312
o,36266,3853962,3853974
o,36267,3860626,3860638
o,36268,3867288,3867300
a,36269,3873950,3873962
o,36270,3880612,3880624
o,36271,3887116,3887128
o,36272,3894296,3894308
o,36273,3900958,3900970
o,36274,3907620,3907632
o,36275,3914282,3914294
o,36276,3920944,3920956
o,36277,3927608,3927620
o,36278,3934270,3934282
o,36279,3940934,3940946
o,36280,3947598,3947610
EC, 142,5881,   0,6024
ER,5922,  93,   8
o,36281,3954190,3954202
o,36282,3961368,3961380
o,36283,3968028,3968040
o,36284,3974690,3974702
o,36285,3981352,3981364
o,36286,3988014,3988026
o,36287,3994676,3994688
o,36288,4001338,4001350
o,36289,4008000,4008012
o,36290,4014662,4014674
o,36291,4021324,4021336
o,36292,4028504,4028516
o,36293,4035166,4035180
o,36294,4041828,4041840
o,36295,4048490,4048502
o,36296,4055064,4055076
o,36297,4061724,4061736
o,36298,4068386,4068398
o,36299,4075048,4075060
o,36300,4081710,4081722
o,36301,4088372,4088384
o,36302,4095552,4095564
o,36303,4102214,4102226
o,36304,4108876,4108888
o,36305,4115538,4115550
o,36306,4122200,4122212
o,36307,4128862,4128874
o,36308,4135524,4135536
o,36309,4142186,4142198
o,36310,4148848,4148860
o,36311,4155510,4155522
o,36312,4162690,4162702
o,36313,4169352,4169364
o,36314,4176014,4176026
o,36315,4182926,4182938
o,36316,4189708,4189720
o,36317,4196370,4196382
o,36318,4203030,4203042
o,36319,4209692,4209704
o,36320,4216352,4216364
o,36321,4223014,4223026
o,36322,4230194,4230206
o,36323,4236856,4236868
o,36324,4243518,4243530
o,36325,4250180,4250192
o,36326,4256842,4256854
o,36327,4263504,4263516
o,36328,4270166,4270178
o,36329,4276748,4276760
o,36330,4283418,4283430
o,36331,4290080,4290092
o,36332,4297260,4297272
o,36333,4303920,4303932
o,36334,4310582,4310594
o,36335,4317584,4317596
o,36336,4324366,4324378
o,36337,4331028,4331040
o,36338,4337690,4337702
o,36339,4344352,4344364
o,36340,4351014,4351026
o,36341,4357676,4357688
o,36342,4364852,4364864
o,36343,4371514,4371526
o,36344,4378176,4378188
o,36345,4384838,4384850
o,36346,4391502,4391514
o,36347,4398164,4398176
o,36348,4404826,4404838
o,36349,4411488,4411500
o,36350,4418150,4418162
,36351,4424724,4424736
o,36352,4431902,4431914
o,36353,4438564,4438576
o,36354,4445226,4445238
o,36355,4451910,4451922
o,36356,4458572,4458584
o,36357,4465234,4465246
o,36358,4471896,4471908
o,36359,4478558,4478570
o,36360,4485132,4485144
o,36361,4491794,4491806
o,36362,4498970,4498982
o,36363,4505632,4505644
o,36364,4512294,4512306
o,36365,4518956,4518968
o,36366,4525620,4525632
o,36367,4532282,4532294
o,36368,4538944,4538956
o,36369,4545548,4545560
o,36370,4552210,4552222
o,36371,4558872,4558884
o,36372,4566050,4566062
o,36373,4572712,4572724
o,36374,4579374,4579386
o,36375,4586382,4586394
o,36376,4593682,4593694
o,36377,4600344,4600356
EC, 182,6842,   0,7024
ER,6892, 124,   8
o,36378,4607006,4607020
o,36379,4613668,4613680
o,36380,4620330,4620342
o,36381,4626992,4627004
o,36382,4634172,4634184
o,36383,4640834,4640846
o,36384,4647496,4647508
o,36385,4654158,4654170
o,36386,4660820,4660832
o,36387,4667482,4667494
o,36388,4674144,4674156
o,36389,4680806,4680818
o,36390,4687468,4687480
o,36391,4694130,4694142
o,36392,4701202,4701214
o,36393,4707864,4707876
o,36394,4714528,4714540
o,36395,4721192,4721204
o,36396,4727856,4727868
o,36397,4734518,4734530
o,36398,4741180,4741192
o,36399,4747842,4747854
o,36400,4754504,4754516
o,36401,4761166,4761178
o,36402,4768346,4768358
o,36403,4775008,4775020
o,36404,4781670,4781682
o,36405,4788332,4788344
o,36406,4794994,4795006
o,36407,4801656,4801668
o,36408,4808318,4808330
o,36409,4814980,4814992
o,36410,4821642,4821654
o,36411,4828304,4828316
o,36412,4835482,4835494
o,36413,4842144,4842156
o,36414,4848652,4848664
o,36415,4855884,4855896
o,36416,4862546,4862558
o,36417,4869132,4869144
o,36418,4875794,4875806
o,36419,4882456,4882468
o,36420,4889118,4889130
o,36421,4895780,4895792
o,36422,4902960,4902972
o,36423,4909622,4909634
o,36424,4916282,4916294
o,36425,4922944,4922956
o,36426,4929606,4929618
o,36427,4936268,4936280
t,10426,4937886,4937898
o,36428,4942880,4942892
o,36429,4949542,4949554
o,36430,4956204,4956216
o,36431,4962866,4962878
o,36432,4970044,4970056
o,36433,4976706,4976718
o,36434,4983368,4983380
o,36435,4990030,4990042
o,36436,4996622,4996634
o,36437,5003284,5003296
o,36438,5009944,5009956
o,36439,5016606,5016618
o,36440,5023268,5023280
o,36441,5029930,5029942
o,36442,5037110,5037122
o,36443,5043772,5043784
o,36444,5050434,5050446
o,36445,5057096,5057108
o,36446,5063692,5063704
o,36447,5070354,5070366
o,36448,5077016,5077028
o,36449,5083676,5083688
o,36450,5090338,5090350
o,36451,5097000,5097012
o,36452,5104180,5104192
o,36453,5110842,5110854
o,36454,5117504,5117516
o,36455,5124270,5124282
o,36456,5130932,5130944
o,36457,5137420,5137432
o,36458,5144082,5144094
o,36459,5150742,5150754
o,36460,5157404,5157416
o,36461,5164066,5164078
o,36462,5171244,5171256
o,36463,5177906,5177918
o,36464,5184568,5184580
o,36465,5191230,5191242
o,36466,5197894,5197906
o,36467,5204556,5204568
o,36468,5211218,5211230
o,36469,5217880,5217892
o,36470,5224542,5224554
o,36471,5231116,5231128
o,36472,5238296,5238308
o,36473,5244956,5244968
o,36474,5251620,5251632
o,36475,5258428,5258440
EC, 223,7802,   0,8025
ER,7861, 156,   8
o,36476,5265092,5265104
o,36477,5271564,5271576
o,36478,5278226,5278238
o,36479,5284888,5284900
o,36480,5291550,5291562
o,36481,5298210,5298222
o,36482,5305390,5305402
o,36483,5312052,5312064
o,36484,5318712,5318724
o,36485,5325374,5325386
o,36486,5331980,5331992
o,36487,5338640,5338652
o,36488,5345302,5345314
o,36489,5351964,5351976
o,36490,5358626,5358638
o,36491,5365288,5365300
o,36492,5372466,5372478
o,36493,5379130,5379142
o,36494,5385792,5385804
o,36495,5392456,5392468
o,36496,5399118,5399130
o,36497,5405780,5405792
o,36498,5412442,5412454
o,36499,5419104,5419116
o,36500,5425766,5425778
o,36501,5432334,5432346
o,36502,5439514,5439526
o,36503,5446176,5446188
o,36504,5452840,5452852
o,36505,5459502,5459514
o,36506,5466164,5466176
o,36507,5472826,5472838
o,36508,5479486,5479498
o,36509,5486150,5486162
o,36510,5492812,5492824
o,36511,5499404,5499416
o,36512,5506584,5506596
o,36513,5513246,5513258
o,36514,5519908,5519920
o,36515,5526570,5526582
o,36516,5533880,5533892
o,36517,5540542,5540554
o,36518,5547204,5547216
o,36519,5553866,5553878
o,36520,5560528,5560540
o,36521,5567192,5567204
o,36522,5574372,5574384
o,36523,5580812,5580824
o,36524,5587472,5587484
a,36525,5594134,5594146
o,36526,5600796,5600808
o,36527,5607458,5607470
o,36528,5614120,5614132
o,36529,5620782,5620794
o,36530,5627446,5627458
o,36531,5634108,5634120
o,36532,5641286,5641298
o,36533,5647948,5647962
o,36534,5654612,5654624
o,36535,5661274,5661288
o,36536,5667852,5667864
o,36537,5674514,5674526
o,36538,5681176,5681188
o,36539,5687838,5687850
o,36540,5694500,5694512
o,36541,5701162,5701174
o,36542,5708342,5708354
o,36543,5715004,5715016
o,36544,5721666,5721678
o,36545,5728328,5728340
o,36546,5734990,5735002
o,36547,5741652,5741664
o,36548,5748314,5748326
o,36549,5754976,5754988
o,36550,5761638,5761650
o,36551,5768300,5768312
o,36552,5775480,5775492
o,36553,5782142,5782154
o,36554,5788804,5788816
o,36555,5795472,5795484
o,36556,5802134,5802146
o,36557,5808798,5808810
o,36558,5815460,5815472
o,36559,5822122,5822134
o,36560,5828784,5828796
o,36561,5835446,5835458
o,36562,5842624,5842636
o,36563,5849286,5849298
o,36564,5855948,5855960
o,36565,5862610,5862622
o,36566,5869272,5869284
o,36567,5875934,5875946
o,36568,5882380,5882392
o,36569,5889044,5889056
o,36570,5895704,5895716
o,36571,5902364,5902376
o,36572,5909544,5909556
o,36573,5916206,5916218
EC, 264,8761,   0,9025
ER,8828, 189,   8
o,36574,5922870,5922882
o,36575,5929532,5929544
o,36576,5936196,5936208
o,36577,5942858,5942870
o,36578,5949520,5949532
o,36579,5956182,5956194
o,36580,5962844,5962856
o,36581,5969506,5969518
o,36582,5976686,5976698
o,36583,5983348,5983360
o,36584,5990010,5990022
o,36585,5996672,5996684
o,36586,6003334,6003346
o,36587,6009996,6010008
o,36588,6016524,6016536
o,36589,6023186,6023198
o,36590,6029848,6029860
o,36591,6036510,6036522
o,36592,6043688,6043700
o,36593,6050350,6050362
o,36594,6057012,6057024
o,36595,6063676,6063688
o,36596,6070338,6070350
o,36597,6077000,6077012
o,36598,6083662,6083674
o,36599,6090326,6090338
o,36600,6096988,6097000
o,36601,6103650,6103662
o,36602,6110830,6110842
o,36603,6117492,6117504
o,36604,6124154,6124166
o,36605,6130816,6130828
o,36606,6137478,6137490
,36607,6144140,6144152
o,36608,6150802,6150814
o,36609,6157464,6157476
o,36610,6164126,6164138
o,36611,6170788,6170800
o,36612,6177966,6177978
o,36613,6184630,6184642
o,36614,6191292,6191304
o,36615,6197954,6197968
o,36616,6204616,6204628
o,36617,6211280,6211292
o,36618,6217942,6217954
o,36619,6224604,6224616
o,36620,6231052,6231064
o,36621,6237714,6237726
o,36622,6244894,6244906
o,36623,6251556,6251568
o,36624,6258218,6258230
o,36625,6264880,6264892
o,36626,6271542,6271554
o,36627,6278204,6278216
o,36628,6284864,6284876
o,36629,6291526,6291538
o,36630,6298124,6298136
o,36631,6304786,6304798
o,36632,6311966,6311978
o,36633,6318628,6318640
o,36634,6325290,6325302
o,36635,6331952,6331964
o,36636,6339068,6339082
o,36637,6345742,6345754
o,36638,6352404,6352416
o,36639,6359066,6359078
o,36640,6365728,6365740
o,36641,6372388,6372400
o,36642,6379566,6379578
o,36643,6386228,6386240
o,36644,6392890,6392902
o,36645,6399552,6399564
o,36646,6406156,6406168
o,36647,6412816,6412828
o,36648,6419476,6419488
o,36649,6426138,6426150
o,36650,6432800,6432812
o,36651,6439462,6439474
o,36652,6446640,6446652
o,36653,6453302,6453314
o,36654,6459964,6459976
o,36655,6466628,6466640
o,36656,6473292,6473304
o,36657,6479954,6479966
o,36658,6486540,6486552
o,36659,6493202,6493214
o,36660,6499866,6499878
o,36661,6506528,6506540
o,36662,6513706,6513718
o,36663,6520368,6520380
o,36664,6527030,6527042
o,36665,6533692,6533704
o,36666,6540354,6540366
o,36667,6547016,6547028
o,36668,6553678,6553690
o,36669,6560344,6560356
o,36670,6567006,6567018
EC, 304,9721,   0,10026
ER,9797, 220,   8
o,36671,6573670,6573682
o,36672,6580846,6580858
o,36673,6587508,6587520
o,36674,6594170,6594182
o,36675,6600832,6600844
o,36676,6607498,6607510
o,36677,6614160,6614172
o,36678,6620822,6620834
o,36679,6627484,6627496
o,36680,6634146,6634158
o,36681,6640808,6640820
o,36682,6647984,6647996
o,36683,6654646,6654658
o,36684,6661308,6661320
o,36685,6667970,6667982
o,36686,6674632,6674644
o,36687,6681294,6681306
o,36688,6687956,6687968
o,36689,6694618,6694630
o,36690,6701280,6701292
o,36691,6707724,6707736
o,36692,6714902,6714914
o,36693,6721564,6721576
o,36694,6728226,6728238
o,36695,6735020,6735032
o,36696,6741682,6741694
o,36697,6748344,6748356
o,36698,6755006,6755018
o,36699,6761668,6761680
o,36700,6768332,6768344
o,36701,6774994,6775006
o,36702,6782172,6782184
o,36703,6788834,6788846
o,36704,6795276,6795288
o,36705,6801938,6801950
o,36706,6808600,6808612
o,36707,6815262,6815274
o,36708,6821924,6821936
o,36709,6828584,6828596
o,36710,6835246,6835258
o,36711,6841910,6841922
o,36712,6849086,6849098
o,36713,6855692,6855704
o,36714,6862352,6862364
o,36715,6869012,6869024
o,36716,6876188,6876200
o,36717,6882850,6882862
o,36718,6889512,6889524
o,36719,6896174,6896186
o,36720,6902834,6902846
o,36721,6909496,6909508
o,36722,6916672,6916684
o,36723,6923276,6923288
o,36724,6929938,6929950
o,36725,6936598,6936610
o,36726,6943260,6943272
o,36727,6949924,6949936
o,36728,6956586,6956598
o,36729,6963248,6963260
o,36730,6969910,6969922
o,36731,6976572,6976584
o,36732,6983750,6983762
o,36733,6990350,6990362
o,36734,6997012,6997024
o,36735,7003676,7003688
o,36736,7010338,7010350
o,36737,7017000,7017012
o,36738,7023662,7023674
o,36739,7030324,7030336
o,36740,7036986,7036998
o,36741,7043648,7043660
o,36742,7050826,7050838
o,36743,7057488,7057500
o,36744,7064150,7064162
o,36745,7070812,7070824
o,36746,7077474,7077486
o,36747,7084048,7084060
o,36748,7090710,7090722
o,36749,7097372,7097384
o,36750,7104034,7104046
o,36751,7110696,7110708
o,36752,7117874,7117886
o,36753,7124534,7124546
o,36754,7131196,7131208
o,36755,7137800,7137814
o,36756,7144462,7144474
o,36757,7151124,7151136
o,36758,7157788,7157800
o,36759,7164450,7164462
o,36760,7171112,7171124
o,36761,7177776,7177788
o,36762,7184436,7184448
o,36763,7191098,7191110
o,36764,7197760,7197772
o,36765,7204422,7204434
o,36766,7211084,7211096
o,36767,7217746,7217758
o,36768,7224332,7224344
EC, 346,10680,   0,11026
ER,10765, 253,   8
o,36769,7230996,7231008
o,36770,7237658,7237670
o,36771,7244322,7244334
o,36772,7250982,7250994
o,36773,7257642,7257654
o,36774,7264304,7264316
o,36775,7270968,7270980
o,36776,7277630,7277642
o,36777,7284292,7284304
o,36778,7290954,7290966
o,36779,7297616,7297628
o,36780,7304278,7304290
a,36781,7310942,7310954
o,36782,7317602,7317614
o,36783,7324264,7324276
o,36784,7330926,7330938
o,36785,7337588,7337600
o,36786,7344140,7344152
o,36787,7350802,7350814
o,36788,7357464,7357476
o,36789,7364126,7364138
o,36790,7370790,7370802
o,36791,7377452,7377464
o,36792,7384112,7384124
o,36793,7390776,7390788
o,36794,7397438,7397450
o,36795,7404102,7404114
o,36796,7410764,7410776
o,36797,7417426,7417438
o,36798,7424012,7424024
o,36799,7430674,7430686
o,36800,7437336,7437348
o,36801,7443998,7444010
o,36802,7450656,7450668
o,36803,7457318,7457330
o,36804,7463980,7463992
o,36805,7470642,7470654
o,36806,7477304,7477316
o,36807,7483966,7483978
o,36808,7490630,7490642
o,36809,7497292,7497304
o,36810,7503884,7503896
o,36811,7510548,7510560
o,36812,7517208,7517220
o,36813,7523870,7523882
o,36814,7530532,7530544
o,36815,7537650,7537662
o,36816,7544334,7544346
o,36817,7550998,7551010
o,36818,7557660,7557672
o,36819,7564322,7564334
o,36820,7570986,7570998
o,36821,7578162,7578174
o,36822,7584824,7584836
o,36823,7591486,7591498
o,36824,7598092,7598104
o,36825,7604754,7604766
o,36826,7611416,7611428
o,36827,7618080,7618092
o,36828,7624740,7624752
o,36829,7631402,7631414
o,36830,7638064,7638076
o,36831,7645242,7645254
o,36832,7651902,7651914
o,36833,7658564,7658576
o,36834,7665226,7665238
o,36835,7671820,7671832
o,36836,7678484,7678496
o,36837,7685146,7685158
o,36838,7691810,7691822
o,36839,7698470,7698482
o,36840,7705130,7705142
o,36841,7712308,7712320
o,36842,7718970,7718982
o,36843,7725630,7725642
o,36844,7732236,7732248
o,36845,7738898,7738910
o,36846,7745560,7745572
o,36847,7752222,7752234
o,36848,7758884,7758896
o,36849,7765546,7765558
o,36850,7772208,7772220
o,36851,7779384,7779396
o,36852,7786046,7786058
o,36853,7792708,7792720
o,36854,7799370,7799382
o,36855,7806032,7806044
o,36856,7812696,7812708
o,36857,7819874,7819886
o,36858,7826536,7826548
o,36859,7833200,7833212
o,36860,7839862,7839874
o,36861,7847040,7847052
o,36862,7853702,7853714
,36863,7860364,7860376
o,36864,7867026,7867038
o,36865,7873690,7873702
o,36866,7880354,7880366
EC, 387,11640,   0,12027
ER,11732, 286,   8
o,36867,7887018,7887030
o,36868,7893680,7893692
o,36869,7900342,7900354
o,36870,7907004,7907016
o,36871,7914002,7914014
o,36872,7920664,7920676
o,36873,7927326,7927338
o,36874,7933988,7934000
o,36875,7940652,7940666
o,36876,7947314,7947326
o,36877,7953976,7953988
o,36878,7960638,7960650
o,36879,7967244,7967256
o,36880,7973906,7973918
o,36881,7981084,7981096
o,36882,7987746,7987758
o,36883,7994408,7994420
o,36884,8001070,8001082
o,36885,8007732,8007744
o,36886,8014392,8014404
o,36887,8021054,8021066
o,36888,8027716,8027728
o,36889,8034378,8034390
o,36890,8041040,8041052
o,36891,8048218,8048230
o,36892,8054880,8054892
o,36893,8061542,8061554
o,36894,8068204,8068216
o,36895,8074866,8074878
o,36896,8081530,8081542
o,36897,8088192,8088204
o,36898,8094854,8094866
o,36899,8101516,8101528
o,36900,8108178,8108190
o,36901,8115356,8115368
o,36902,8121868,8121880
o,36903,8128530,8128542
o,36904,8135192,8135204
o,36905,8141854,8141866
o,36906,8148516,8148528
o,36907,8155178,8155190
o,36908,8161840,8161852
o,36909,8168500,8168512
o,36910,8175162,8175174
o,36911,8182338,8182350
o,36912,8189000,8189012
o,36913,8195662,8195674
o,36914,8202324,8202336
o,36915,8208986,8208998
o,36916,8215600,8215612
o,36917,8222702,8222714
o,36918,8229390,8229402
o,36919,8236052,8236064
o,36920,8242714,8242726
o,36921,8249892,8249904
o,36922,8256554,8256566
o,36923,8263216,8263228
o,36924,8269878,8269890
o,36925,8276540,8276552
o,36926,8283202,8283214
o,36927,8289804,8289816
o,36928,8296466,8296478
o,36929,8303126,8303138
o,36930,8309788,8309800
o,36931,8316968,8316980
o,36932,8323630,8323642
o,36933,8330292,8330304
o,36934,8336952,8336964
o,36935,8343616,8343628
o,36936,8350278,8350290
o,36937,8356940,8356952
o,36938,8363602,8363614
o,36939,8370264,8370276
o,36940,8376926,8376938
o,36941,8384106,8384118
o,36942,8390768,8390780
o,36943,8397324,8397336
o,36944,8403986,8403998
o,36945,8410648,8410660
o,36946,8417310,8417322
o,36947,8423972,8423984
o,36948,8430634,8430646
o,36949,8437296,8437308
o,36950,8443958,8443970
o,36951,8451138,8451150
o,36952,8457740,8457752
o,36953,8464402,8464414
o,36954,8471062,8471074
o,36955,8478180,8478192
o,36956,8485008,8485020
o,36957,8491670,8491682
o,36958,8498332,8498344
o,36959,8504996,8505008
o,36960,8511658,8511670
o,36961,8518838,8518850
o,36962,8525324,8525336
o,36963,8531986,8531998
o,36964,8538648,8538662
EC, 427,12600,   0,13028
ER,12702, 317,   8
o,36965,8545292,8545304
o,36966,8551954,8551966
o,36967,8558616,8558628
o,36968,8565276,8565288
o,36969,8571938,8571950
o,36970,8578600,8578612
o,36971,8585780,8585792
o,36972,8592442,8592454
o,36973,8599106,8599118
o,36974,8605768,8605780
o,36975,8612896,8612908
o,36976,8619558,8619570
o,36977,8626218,8626230
o,36978,8632878,8632890
o,36979,8639540,8639552
o,36980,8646204,8646216
o,36981,8653384,8653396
o,36982,8659980,8659992
o,36983,8666640,8666652
o,36984,8673302,8673314
o,36985,8679962,8679974
o,36986,8686624,8686636
o,36987,8693286,8693298
o,36988,8699948,8699960
o,36989,8706610,8706622
o,36990,8713272,8713284
o,36991,8720452,8720464
