TT,07,29,21,03,31,28,462760
ing: RPL Lite
EC, 114,32924,   0,33039
ER,33025,   5,   8
EC, 116,33923,   0,34040
ER,34026,   5,   8
EC, 119,34921,   0,35040
ER,35026,   6,   8
EC, 122,35918,   0,36041
ER,36026,   6,   8
EC, 125,36915,   0,37041
ER,37027,   6,   8
EC, 128,37914,   0,38042
ER,38027,   6,   8
EC, 131,38911,   0,39042
ER,39028,   6,   8
EC, 133,39909,   0,40043
ER,40028,   6,   8
EC, 136,40906,   0,41043
ER,41029,   6,   8
EC, 139,41904,   0,42044
ER,42030,   6,   8
EC, 142,42902,   0,43044
ER,43030,   6,   8
EC, 145,43900,   0,44045
ER,44031,   6,   8
EC, 147,44898,   0,45046
ER,45031,   6,   8
EC, 149,45897,   0,46046
ER,46032,   6,   8
EC, 151,46895,   0,47047
ER,47032,   6,   8
EC, 153,47894,   0,48047
ER,48032,   6,   8
EC, 155,48892,   0,49048
ER,49033,   6,   8
EC, 157,49891,   0,50048
ER,50034,   6,   8
EC, 159,50889,   0,51049
ER,51034,   6,   8
EC, 161,51888,   0,52049
ER,52035,   6,   8
EC, 163,52887,   0,53050
ER,53035,   6,   8
EC, 165,53885,   0,54051
ER,54036,   6,   8
EC, 167,54884,   0,55051
ER,55036,   6,   8
EC, 168,55883,   0,56052
ER,56037,   6,   8
EC, 170,56881,   0,57052
ER,57037,   6,   8
EC, 172,57880,   0,58053
ER,58038,   6,   8
EC, 174,58879,   0,59053
ER,59039,   6,   8
EC, 176,59877,   0,60054
ER,60039,   6,   8
EC, 178,60876,   0,61054
ER,61040,   6,   8
EC, 180,61875,   0,62055
ER,62040,   6,   8
EC, 182,62873,   0,63055
ER,63041,   6,   8
EC, 184,63872,   0,64056
ER,64041,   6,   8
EC, 186,64871,   0,65057
ER,65042,   6,   8
EC, 187,65869,   0,66057
ER,66042,   6,   8
EC, 190,66868,   0,67058
ER,67042,   6,   8
EC, 191,67866,   0,68058
ER,68043,   6,   8
EC, 193,68865,   0,69059
ER,69044,   6,   8
EC, 195,69864,   0,70059
ER,70044,   6,   8
EC, 197,70862,   0,71060
ER,71045,   6,   8
EC, 199,71861,   0,72060
ER,72045,   6,   8
EC, 201,72859,   0,73061
ER,73046,   6,   8
EC, 203,73858,   0,74062
ER,74046,   6,   8
EC, 205,74857,   0,75062
ER,75047,   6,   8
EC, 207,75855,   0,76063
ER,76048,   6,   8
EC, 209,76854,   0,77063
ER,77048,   6,   8
EC, 211,77853,   0,78064
ER,78049,   6,   8
EC, 212,78851,   0,79064
ER,79049,   6,   8
EC, 214,79850,   0,80065
ER,80050,   6,   8
EC, 216,80849,   0,81065
ER,81050,   6,   8
EC, 218,81847,   0,82066
ER,82051,   6,   8
EC, 220,82846,   0,83066
ER,83051,   6,   8
EC, 222,83845,   0,84067
ER,84052,   6,   8
EC, 224,84843,   0,85068
ER,85052,   6,   8
EC, 226,85842,   0,86068
ER,86053,   6,   8
EC, 228,86840,   0,87069
ER,87054,   6,   8
EC, 230,87839,   0,88069
ER,88054,   6,   8
EC, 232,88838,   0,89070
ER,89055,   6,   8
EC, 234,89836,   0,90070
ER,90055,   6,   8
EC, 235,90835,   0,91071
ER,91056,   6,   8
EC, 238,91833,   0,92071
ER,92055,   7,   8
EC, 240,92832,   0,93072
ER,93056,   7,   8
EC, 242,93831,   0,94073
ER,94057,   7,   8
EC, 244,94829,   0,95073
ER,95057,   7,   8
EC, 246,95827,   0,96073
ER,96057,   7,   8
EC, 247,96826,   0,97074
ER,97058,   7,   8
EC, 249,97825,   0,98075
ER,98059,   7,   8
EC, 251,98823,   0,99075
ER,99059,   7,   8
EC, 253,99822,   0,100076
ER,100060,   7,   8
EC, 255,100821,   0,101076
ER,101060,   7,   8
EC, 257,101819,   0,102077
ER,102061,   7,   8
EC, 259,102818,   0,103077
ER,103061,   7,   8
EC, 261,103817,   0,104078
ER,104062,   7,   8
EC, 263,104815,   0,105079
ER,105062,   7,   8
EC, 265,105814,   0,106079
ER,106063,   7,   8
EC, 267,106812,   0,107080
ER,107063,   8,   8
EC, 269,107811,   0,108080
ER,108064,   8,   8
EC, 271,108810,   0,109081
ER,109064,   8,   8
EC, 273,109808,   0,110081
ER,110065,   8,   8
EC, 275,110807,   0,111082
ER,111065,   8,   8
EC, 276,111805,   0,112082
ER,112066,   8,   8
EC, 278,112804,   0,113083
ER,113066,   8,   8
EC, 280,113803,   0,114083
ER,114067,   8,   8
EC, 282,114801,   0,115084
ER,115067,   8,   8
EC, 284,115800,   0,116085
ER,116068,   8,   8
EC, 286,116798,   0,117085
ER,117068,   8,   8
EC, 288,117797,   0,118086
ER,118069,   8,   8
EC, 290,118796,   0,119086
ER,119070,   8,   8
EC, 292,119794,   0,120087
ER,120070,   8,   8
EC, 294,120793,   0,121087
ER,121071,   8,   8
EC, 296,121792,   0,122088
ER,122071,   8,   8
EC, 298,122790,   0,123088
ER,123072,   8,   8
EC, 300,123789,   0,124089
ER,124073,   8,   8
EC, 302,124787,   0,125090
ER,125073,   8,   8
EC, 304,125786,   0,126090
ER,126074,   8,   8
EC, 306,126784,   0,127091
ER,127074,   8,   8
EC, 308,127782,   0,128091
ER,128074,   8,   8
EC, 310,128781,   0,129092
ER,129075,   8,   8
EC, 312,129780,   0,130092
ER,130075,   8,   8
EC, 314,130779,   0,131093
ER,131076,   8,   8
EC, 316,131777,   0,132093
ER,132076,   8,   8
EC, 318,132776,   0,133094
ER,133077,   8,   8
EC, 320,133774,   0,134094
ER,134078,   8,   8
EC, 322,134773,   0,135095
ER,135078,   8,   8
EC, 323,135772,   0,136096
ER,136079,   8,   8
EC, 325,136770,   0,137096
ER,137079,   8,   8
EC, 327,137769,   0,138097
ER,138080,   8,   8
EC, 329,138767,   0,139097
ER,139080,   8,   8
EC, 331,139766,   0,140098
ER,140081,   8,   8
EC, 333,140765,   0,141098
ER,141081,   8,   8
EC, 335,141763,   0,142099
ER,142082,   8,   8
EC, 337,142762,   0,143099
ER,143083,   8,   8
EC, 339,143761,   0,144100
ER,144083,   8,   8
EC, 341,144759,   0,145101
ER,145084,   8,   8
EC, 343,145758,   0,146101
ER,146084,   8,   8
EC, 345,146756,   0,147102
ER,147085,   8,   8
EC, 347,147755,   0,148102
ER,148085,   8,   8
EC, 349,148754,   0,149103
ER,149086,   8,   8
EC, 350,149752,   0,150103
ER,150086,   8,   8
EC, 352,150751,   0,151104
ER,151087,   8,   8
EC, 354,151749,   0,152104
ER,152087,   8,   8
EC, 356,152748,   0,153105
ER,153088,   8,   8
EC, 358,153747,   0,154106
ER,154089,   8,   8
EC, 360,154745,   0,155106
ER,155089,   8,   8
EC, 362,155743,   0,156106
ER,156089,   8,   8
EC, 364,156742,   0,157107
ER,157090,   8,   8
EC, 366,157741,   0,158108
ER,158090,   8,   8
EC, 368,158740,   0,159108
ER,159091,   8,   8
EC, 370,159738,   0,160109
ER,160092,   8,   8
EC, 372,160737,   0,161109
ER,161092,   8,   8
EC, 374,161735,   0,162110
ER,162093,   8,   8
EC, 376,162734,   0,163110
ER,163093,   8,   8
EC, 378,163733,   0,164111
ER,164094,   8,   8
EC, 380,164731,   0,165112
ER,165094,   8,   8
EC, 382,165730,   0,166112
ER,166095,   8,   8
EC, 384,166729,   0,167113
ER,167095,   8,   8
EC, 386,167727,   0,168113
ER,168096,   8,   8
EC, 388,168726,   0,169114
ER,169096,   8,   8
EC, 389,169724,   0,170114
ER,170097,   8,   8
EC, 391,170723,   0,171115
ER,171098,   8,   8
EC, 393,171722,   0,172115
ER,172098,   8,   8
EC, 395,172720,   0,173116
ER,173099,   8,   8
EC, 397,173719,   0,174116
ER,174099,   8,   8
EC, 399,174717,   0,175117
ER,175099,   9,   8
EC, 401,175716,   0,176118
ER,176100,   9,   8
EC, 403,176714,   0,177118
ER,177100,   9,   8
EC, 405,177713,   0,178119
ER,178101,   9,   8
EC, 407,178712,   0,179119
ER,179102,   9,   8
